127.0.0.1, 2018-04-30 19:00:00, GET, /admin/default/design/yabba, HTTP/1.1, 200, 0.077434
127.0.0.1, 2018-04-30 19:00:11, GET, /yabba/appadmin/d3_graph_model, HTTP/1.1, 404, 0.016455
127.0.0.1, 2018-04-30 19:00:12, GET, /admin/default/design/yabba, HTTP/1.1, 200, 0.091367
127.0.0.1, 2018-04-30 19:00:13, GET, /admin/default/peek/yabba/databases/sql.log, HTTP/1.1, 200, 0.018085
127.0.0.1, 2018-04-30 19:00:14, GET, /admin/default/design/yabba, HTTP/1.1, 200, 0.083711
127.0.0.1, 2018-04-30 19:00:14, GET, /yabba/appadmin/index, HTTP/1.1, 200, 0.034864
127.0.0.1, 2018-04-30 19:00:14, GET, /yabba/appadmin/hooks, HTTP/1.1, 200, 0.061772
127.0.0.1, 2018-04-30 19:00:19, GET, /yabba/appadmin/select/db, HTTP/1.1, 200, 0.040552
127.0.0.1, 2018-04-30 19:00:32, GET, /yabba/appadmin/index, HTTP/1.1, 200, 0.030119
127.0.0.1, 2018-04-30 19:00:32, GET, /yabba/appadmin/hooks, HTTP/1.1, 200, 0.069444
127.0.0.1, 2018-04-30 19:00:47, GET, /admin/default/design/yabba, HTTP/1.1, 200, 0.088167
127.0.0.1, 2018-04-30 19:00:56, GET, /admin/default/plugins/yabba, HTTP/1.1, 200, 0.905470
127.0.0.1, 2018-04-30 19:00:59, GET, /admin/default/design/yabba, HTTP/1.1, 200, 0.096314
127.0.0.1, 2018-04-30 19:01:15, GET, /admin/default/peek/yabba/controllers/default.py, HTTP/1.1, 200, 0.024279
